name	electrode_name	type	units	sampling_frequency	stream_id	gain
ch015	e015	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch001	e001	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch014	e014	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch000	e000	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch013	e013	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch009	e009	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch011	e011	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch010	e010	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch002	e002	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch012	e012	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch004	e004	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch008	e008	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch005	e005	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch003	e003	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch006	e006	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch007	e007	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch019	e019	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch029	e029	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch023	e023	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch027	e027	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch028	e028	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch026	e026	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch024	e024	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch025	e025	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch030	e030	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch016	e016	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch031	e031	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch017	e017	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch022	e022	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch018	e018	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch021	e021	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch020	e020	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch082	e082	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch089	e089	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch083	e083	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
ch088	e088	n/a	V	1250.0	ElectricalSeries_lfp	1.9499999999999999e-07
